iter	RMSE
0	14.22111626
1	13.34813005
2	12.49515106
3	11.74368072
4	11.08690823
5	10.5613847
6	10.03438069
7	9.543026588
8	9.12445685
9	8.711217363
10	8.34040533
11	8.020263416
12	7.748756098
13	7.53125528
14	7.28819778
15	7.07386591
16	6.885630908
17	6.709159455
18	6.568265417
19	6.436541384
20	6.330868769
21	6.238751947
22	6.13977095
23	6.052823233
24	5.965498385
25	5.916663783
26	5.832557653
27	5.766015449
28	5.719495928
29	5.665044915
30	5.609763514
31	5.566938161
32	5.528719764
33	5.498598617
34	5.452141452
35	5.417026804
36	5.389459975
37	5.370901938
38	5.344591567
39	5.321394448
40	5.300870836
41	5.284605624
42	5.26490381
43	5.253497558
44	5.234343959
45	5.215167897
46	5.198146901
47	5.185590994
48	5.168428019
49	5.156334563
50	5.142894568
51	5.132264343
52	5.112139106
53	5.099905679
54	5.084050611
55	5.071792761
56	5.061986334
57	5.048879268
58	5.03362532
59	5.014439602
60	5.002970338
61	4.986429121
62	4.973294319
63	4.958035948
64	4.951158927
65	4.942771421
66	4.936134318
67	4.927449232
68	4.913231948
69	4.896089673
70	4.880606982
71	4.872147302
72	4.865243239
73	4.853018744
74	4.842909033
75	4.836149085
76	4.830373064
77	4.824434979
78	4.816636637
79	4.808755357
80	4.799328805
81	4.795581777
82	4.786029619
83	4.778358166
84	4.76388414
85	4.750302882
86	4.744255157
87	4.741579525
88	4.733098621
89	4.728000224
90	4.717322659
91	4.71457231
92	4.710088761
93	4.695759337
94	4.687071214
95	4.670437901
96	4.656953781
97	4.64418936
98	4.638719875
99	4.634720439
