iter	Passed	Remaining
0	2	293
1	5	284
2	8	277
3	11	277
4	14	271
5	17	267
6	19	265
7	22	260
8	25	257
9	28	253
10	31	250
11	34	253
12	37	250
13	40	247
14	43	244
15	45	241
16	48	237
17	51	234
18	54	231
19	56	227
20	59	224
21	63	224
22	66	220
23	68	217
24	71	214
25	74	211
26	77	208
27	79	205
28	82	202
29	85	199
30	88	196
31	91	193
32	93	190
33	96	187
34	99	184
35	102	181
36	104	178
37	107	175
38	110	172
39	113	169
40	115	166
41	118	164
42	121	161
43	123	156
44	125	153
45	128	151
46	131	148
47	134	145
48	137	142
49	139	139
50	142	136
51	145	134
52	148	131
53	150	128
54	153	125
55	156	122
56	159	120
57	161	117
58	164	114
59	167	111
60	170	108
61	173	106
62	175	103
63	178	100
64	181	97
65	184	94
66	186	92
67	189	89
68	192	86
69	195	83
70	197	80
71	200	78
72	203	75
73	206	72
74	209	69
75	212	66
76	214	64
77	217	61
78	220	58
79	223	55
80	226	53
81	229	50
82	231	47
83	234	44
84	237	41
85	240	39
86	243	36
87	246	33
88	249	30
89	251	27
90	254	25
91	257	22
92	260	19
93	263	16
94	266	14
95	269	11
96	271	8
97	274	5
98	277	2
99	279	0
